00:02:03.846025 DCon02   Unattended: RTVfsQueryPathInfo(, '\OS2IMAGE/DISK_0/OS2LDR' (from OS2SE20.SRC),) -> VERR_PATH_NOT_FOUND, fMode=0x0
00:02:58.289148 createBase Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:58.293061 createBase Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
00:02:58.295774 DCon01   Platform architecture set to 'x86'
00:02:58.295845 DCon01   Platform architecture set to 'x86'
00:02:58.295854 DCon01   Platform architecture set to 'x86'
00:02:58.296025 DCon01   Platform architecture set to 'x86'
00:02:58.296565 DCon01   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:02:58.303891 DCon01   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:02:58.303982 DCon01   Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:58.307791 DCon01   Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
00:02:58.308294 DCon06   Platform architecture set to 'x86'
00:02:58.309249 DCon07   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:02:58.309266 DCon07   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:02:58.309285 DCon07   Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:58.312705 DCon07   Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
00:02:58.312921 DCon01   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:02:58.316881 DCon01   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:02:59.021097 DCon01   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:02:59.021122 DCon01   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:02:59.021156 DCon01   Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:59.025207 DCon01   Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
00:02:59.025460 DCon01   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
